BAS_MGT_SN,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,BAS_ID,BAS_AR,NTFC_DE,MVMN_DE,MVMN_RESN,OPERT_DE
1153000168,서울특별시,11530,구로구,08386,0.028186,20121221,20121221,국가기초구역 최초생성,20121221000000
1153000169,서울특별시,11530,구로구,08383,0.04235,20121221,20121221,국가기초구역 최초생성,20121221000000
1114000064,서울특별시,11140,중구,04549,0.055089,20121221,,,
1114000065,서울특별시,11140,중구,04548,0.063384,20121221,,,
1114000066,서울특별시,11140,중구,04547,0.092244,20121221,,,
1114000112,서울특별시,11140,중구,04590,0.046008,20121221,,,
1114000113,서울특별시,11140,중구,04588,0.060452,20121221,,,
1114000114,서울특별시,11140,중구,04589,0.078312,20121221,,,
1111000039,서울특별시,11110,종로구,03046,0.085627,20121221,,,
1111000040,서울특별시,11110,종로구,03169,0.050266,20121221,,,
1111000041,서울특별시,11110,종로구,03082,0.05403,20121221,,,
1111000042,서울특별시,11110,종로구,03170,0.029049,20121221,,,
1111000043,서울특별시,11110,종로구,03173,0.046777,20121221,,,
1111000044,서울특별시,11110,종로구,03040,0.043236,20121221,,,
1111000045,서울특별시,11110,종로구,03042,0.064471,20121221,,,
1111000046,서울특별시,11110,종로구,03097,0.039116,20121221,,,
1111000047,서울특별시,11110,종로구,03091,0.046991,20121221,,,
1111000113,서울특별시,11110,종로구,03003,1.726179,20121221,,,
1111000114,서울특별시,11110,종로구,03001,2.643834,20121221,,,
1111000184,서울특별시,11110,종로구,03011,0.755877,20121221,,,
1111000185,서울특별시,11110,종로구,03019,0.13976,20121221,,,
1114000067,서울특별시,11140,중구,04542,0.039208,20121221,,,
1114000068,서울특별시,11140,중구,04543,0.054034,20121221,,,
1114000069,서울특별시,11140,중구,04544,0.052715,20121221,,,
1114000070,서울특별시,11140,중구,04545,0.059795,20121221,,,
1114000115,서울특별시,11140,중구,04587,0.126906,20121221,,,
1114000116,서울특별시,11140,중구,04582,0.093187,20121221,,,
1111000048,서울특별시,11110,종로구,03090,0.027006,20121221,,,
1111000049,서울특별시,11110,종로구,03096,0.049492,20121221,,,
1111000050,서울특별시,11110,종로구,03102,0.026167,20121221,,,
1111000051,서울특별시,11110,종로구,03031,0.192659,20121221,,,
1111000115,서울특별시,11110,종로구,03014,0.083059,20121221,,,
1111000116,서울특별시,11110,종로구,03047,0.188296,20121221,,,
1111000117,서울특별시,11110,종로구,03038,0.113947,20121221,,,
1111000118,서울특별시,11110,종로구,03182,0.033631,20121221,,,
1111000186,서울특별시,11110,종로구,03178,0.067045,20121221,,,
1111000187,서울특별시,11110,종로구,03073,0.070322,20121221,,,
1111000188,서울특별시,11110,종로구,03080,0.20135,20121221,,,
1111000189,서울특별시,11110,종로구,03079,0.0434,20121221,,,
1111000190,서울특별시,11110,종로구,03084,0.044843,20121221,,,
1114000071,서울특별시,11140,중구,04546,0.099588,20121221,,,
1114000072,서울특별시,11140,중구,04560,0.041941,20121221,,,
1114000073,서울특별시,11140,중구,04561,0.095558,20121221,,,
1114000074,서울특별시,11140,중구,04564,0.063827,20121221,,,
1114000117,서울특별시,11140,중구,04586,0.047901,20121221,,,
1114000118,서울특별시,11140,중구,04584,0.051536,20121221,,,
1114000119,서울특별시,11140,중구,04581,0.024507,20121221,,,
1111000052,서울특별시,11110,종로구,03052,0.112021,20121221,,,
1111000053,서울특별시,11110,종로구,03037,0.023916,20121221,,,
1111000054,서울특별시,11110,종로구,03142,0.025811,20121221,,,
1111000055,서울특별시,11110,종로구,03135,0.236991,20121221,,,
1111000056,서울특별시,11110,종로구,03155,0.017647,20121221,,,
1111000057,서울특별시,11110,종로구,03158,0.014288,20121221,,,
1111000119,서울특별시,11110,종로구,03065,0.047137,20121221,,,
1111000120,서울특별시,11110,종로구,03043,0.057046,20121221,,,
1111000121,서울특별시,11110,종로구,03059,0.02684,20121221,,,
1111000122,서울특별시,11110,종로구,03057,0.096047,20121221,,,
1111000123,서울특별시,11110,종로구,03068,0.06937,20121221,,,
1111000124,서울특별시,11110,종로구,03069,0.029858,20121221,,,
1111000191,서울특별시,11110,종로구,03081,0.033422,20121221,,,
