"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","위도","경도"
"31851","11170","4","20101119","3114","37.5322859","127.0096926"
"31854","11410","4"," ","1474","37.558777","126.939556"
"31857","11410","4"," ","3369","37.558107","126.9537643"
"31859","11410","4"," ","3272","37.5587387","126.9349881"
"31861","11410","4"," ","421","37.5577672","126.9503589"
"31865","11410","4","20150123172636","3544","37.5821283","126.9179419"
"32176","11710","4"," ","1013","37.507208","127.0857318"
"32177","11710","4"," ","1490","37.5077681","127.1231763"
"32181","11440","4"," ","617","37.5592044","126.9045617"
"32185","11440","4"," ","1168","37.5584644","126.9006948"
"32186","11710","4","20150727140652","1100","37.5108898","127.120043"
"32187","11440"," "," ","0","37.5608867","126.894822"
"32190","11440","4","20070921","2584","37.5449537","126.9463271"
"32192","11290","4"," ","1","37.6076977","127.0363635"
"32194","11410","4"," ","2508","37.5791111","126.9138993"
"32197","11410","4"," ","2675","37.5566648","126.9390533"
"32200","11410","4"," ","1545","37.5579552","126.9539621"
"32202","11410","4"," ","929","37.5576704","126.9536768"
"32204","11410","4"," ","2241","37.5583134","126.9359809"
"32523","11410","4"," ","2574","37.590545","126.9524555"
"32526","11410","4"," ","1469","37.5759383","126.9324189"
"32528","11410","4"," ","2097","37.5697866","126.9350488"
"32529","11410","4"," ","2477","37.5703069","126.9350336"
"32530","11410","4"," ","100","37.5698439","126.9346487"
"32533","11410","4"," ","2281","37.5587227","126.9477202"
"32535","11410","4"," ","2606","37.5873582","126.9317776"
"32536","11410","4"," ","2715","37.5578983","126.9359852"
"32538","11410","4"," ","950","37.5978784","126.9463352"
"32541","11410","4"," ","3352","37.5580844","126.9526453"
"32543","11410","4"," ","2968","37.5597643","126.9587576"
"32544","11410","4"," ","2740","37.5590586","126.9583278"
"32547","11440","4"," ","1488","37.5456981","126.9486895"
"32548","11440","4"," ","3345","37.5452495","126.9485717"
"32553","11170","3"," ","1246","37.5308548","126.9972338"
"32558","11170","3"," ","1903","37.532458","126.9951651"
"32559","11440","4"," ","1481","37.5447523","126.9482381"
"32560","11710"," "," ","0","37.4991514","127.1444201"
"32563","11680","4","20080808","248","37.5046691","127.0516589"
"32564","11170"," "," ","0","37.5356351","126.9482288"
"32566","11170","4"," ","2538","37.5501012","126.9680875"
"32567","11560"," "," ","0","37.4935429","126.9024583"
"32570","11560","4","20150601131858","0","37.4935256","126.9018455"
"32571","11560"," ","20091207","0","37.5225831","126.9011452"
"32852","11680","4","20080725","485","37.5117474","127.0471989"
"32857","11290","4"," ","1","37.6100071","127.0295179"
"32860","11290","4"," ","1","37.609521","127.0271215"
"32863","11440","4","20080718","316","37.5415871","126.9508534"
"32864","11440","4","20080718","1520","37.5396132","126.9509906"
"32869","11290","4"," ","1","37.6195914","127.0495514"
"32870","11290","4"," ","1","37.6126596","127.038462"
"32873","11170","4"," ","1736","37.5381996","126.9995675"
"32874","11290","4"," ","1","37.6123811","127.0639727"
"32877","11440","4","20081224","1518","37.5527444","126.944368"
"32878","11440"," "," ","0","37.5758964","126.8636472"
"32881","11290","4","20110225","1","37.5848099","127.0182191"
"32886","11440","4"," ","2165","37.5605871","126.9148024"
"31868","11230","4","20070515","1622","37.595548","127.0581989"
"31869","11305"," "," ","0","37.6479006","127.0194758"
"31874","11290","4"," ","1","37.6053268","127.0619629"
"31875","11230","4"," ","2179","37.566655","127.0591094"
"31877","11230","3","20071204","3593","37.5792879","127.0506145"
"31881","11230","4","20070809","453","37.5868271","127.0550519"
"31884","11230","4","20070323","2929","37.5877171","127.0440946"
"31887","11680","4","20080828","1461","37.4906996","127.0820698"
"31889","11680","4","20080820","1137","37.50046","127.0558518"
"31897","11680","4","20080721","162","37.5116721","127.0352749"
"31898","11680","4","20080808","612","37.4922836","127.0372588"
"31899","11680","4","20080902","1379","37.5105197","127.0560133"
"31900","11680","4","20080722","739","37.5112889","127.0245823"
